freq	power	ampl	char					
1.37E-02	1.42E-19	3.77E-10	4.40E-11					
1.39E-02	1.20E-19	3.46E-10	4.08E-11					
1.41E-02	1.01E-19	3.19E-10	3.78E-11					
1.43E-02	8.60E-20	2.93E-10	3.51E-11					
1.46E-02	7.42E-20	2.72E-10	3.29E-11					
1.48E-02	6.39E-20	2.53E-10	3.07E-11					
1.50E-02	5.50E-20	2.34E-10	2.88E-11					
1.53E-02	4.73E-20	2.17E-10	2.69E-11					
1.55E-02	4.06E-20	2.02E-10	2.51E-11					
1.58E-02	3.49E-20	1.87E-10	2.35E-11					
1.60E-02	2.99E-20	1.73E-10	2.19E-11					
1.63E-02	2.57E-20	1.60E-10	2.05E-11					
1.66E-02	2.20E-20	1.48E-10	1.91E-11					
1.68E-02	1.88E-20	1.37E-10	1.78E-11					
1.71E-02	1.61E-20	1.27E-10	1.66E-11					
1.74E-02	1.38E-20	1.17E-10	1.55E-11					
1.77E-02	1.18E-20	1.09E-10	1.44E-11					
1.80E-02	1.01E-20	1.00E-10	1.34E-11					
1.82E-02	8.59E-21	9.27E-11	1.25E-11					
1.85E-02	7.33E-21	8.56E-11	1.17E-11					
1.88E-02	6.25E-21	7.91E-11	1.09E-11					
1.92E-02	5.33E-21	7.30E-11	1.01E-11					
1.95E-02	4.54E-21	6.74E-11	9.40E-12					
1.98E-02	3.87E-21	6.22E-11	8.75E-12					
2.01E-02	3.29E-21	5.74E-11	8.13E-12					
2.04E-02	2.80E-21	5.29E-11	7.56E-12					
2.08E-02	2.38E-21	4.88E-11	7.03E-12					
2.11E-02	2.02E-21	4.50E-11	6.54E-12					
2.14E-02	1.72E-21	4.15E-11	6.07E-12					
2.18E-02	1.46E-21	3.82E-11	5.64E-12					
2.21E-02	1.24E-21	3.52E-11	5.24E-12					
2.25E-02	1.08E-21	3.29E-11	4.93E-12					
2.29E-02	9.45E-22	3.07E-11	4.65E-12					
2.32E-02	8.26E-22	2.87E-11	4.38E-12					
2.36E-02	7.22E-22	2.69E-11	4.13E-12					
2.40E-02	6.30E-22	2.51E-11	3.89E-12					
2.44E-02	5.50E-22	2.35E-11	3.66E-12					
2.48E-02	4.80E-22	2.19E-11	3.45E-12					
2.52E-02	4.18E-22	2.04E-11	3.25E-12					
2.56E-02	3.64E-22	1.91E-11	3.05E-12					
2.60E-02	3.17E-22	1.78E-11	2.87E-12					
2.64E-02	2.76E-22	1.66E-11	2.70E-12					
2.69E-02	2.40E-22	1.55E-11	2.54E-12					
2.73E-02	2.09E-22	1.44E-11	2.39E-12					
2.78E-02	1.81E-22	1.35E-11	2.24E-12					
2.82E-02	1.58E-22	1.26E-11	2.11E-12					
2.87E-02	1.37E-22	1.17E-11	1.98E-12					
2.91E-02	1.19E-22	1.09E-11	1.86E-12					
2.96E-02	1.03E-22	1.02E-11	1.75E-12					
3.01E-02	8.96E-23	9.47E-12	1.64E-12					
3.06E-02	7.78E-23	8.82E-12	1.54E-12					
3.11E-02	6.75E-23	8.22E-12	1.45E-12					
3.16E-02	5.86E-23	7.65E-12	1.36E-12					
3.21E-02	5.40E-23	7.35E-12	1.32E-12					
3.26E-02	5.01E-23	7.08E-12	1.28E-12					
3.32E-02	4.65E-23	6.82E-12	1.24E-12					
3.37E-02	4.31E-23	6.56E-12	1.20E-12					
3.42E-02	3.99E-23	6.31E-12	1.17E-12					
3.48E-02	3.69E-23	6.07E-12	1.13E-12					
3.54E-02	3.41E-23	5.84E-12	1.10E-12					
3.59E-02	3.15E-23	5.61E-12	1.06E-12					
3.65E-02	2.91E-23	5.39E-12	1.03E-12					
3.71E-02	2.68E-23	5.18E-12	9.98E-13					
3.77E-02	2.47E-23	4.97E-12	9.66E-13					
3.83E-02	2.28E-23	4.78E-12	9.35E-13					
3.90E-02	2.10E-23	4.59E-12	9.05E-13					
3.96E-02	1.94E-23	4.40E-12	8.76E-13					
4.02E-02	1.79E-23	4.23E-12	8.48E-13					
4.09E-02	1.65E-23	4.06E-12	8.21E-13					
4.16E-02	1.52E-23	3.90E-12	7.95E-13					
4.22E-02	1.40E-23	3.74E-12	7.70E-13					
4.29E-02	1.29E-23	3.60E-12	7.45E-13					
4.36E-02	1.20E-23	3.46E-12	7.22E-13					
4.43E-02	1.10E-23	3.32E-12	7.00E-13					
4.50E-02	1.02E-23	3.20E-12	6.78E-13					
4.58E-02	9.67E-24	3.11E-12	6.65E-13					
4.65E-02	1.03E-23	3.20E-12	6.91E-13					
4.73E-02	1.09E-23	3.30E-12	7.17E-13					
4.80E-02	1.15E-23	3.39E-12	7.44E-13					
4.88E-02	1.22E-23	3.49E-12	7.72E-13					
4.96E-02	1.29E-23	3.59E-12	8.01E-13					
5.04E-02	1.37E-23	3.70E-12	8.31E-13					
5.13E-02	1.45E-23	3.81E-12	8.63E-13					
5.21E-02	1.54E-23	3.93E-12	8.96E-13					
5.29E-02	1.64E-23	4.05E-12	9.32E-13					
5.38E-02	1.75E-23	4.18E-12	9.71E-13					
5.47E-02	1.87E-23	4.33E-12	1.01E-12					
5.56E-02	2.01E-23	4.48E-12	1.06E-12					
5.65E-02	2.17E-23	4.66E-12	1.11E-12					
5.74E-02	2.35E-23	4.85E-12	1.16E-12					
5.83E-02	2.56E-23	5.06E-12	1.22E-12					
5.93E-02	2.82E-23	5.31E-12	1.29E-12					
6.02E-02	3.13E-23	5.60E-12	1.37E-12					
6.12E-02	3.52E-23	5.93E-12	1.47E-12					
6.22E-02	4.01E-23	6.34E-12	1.58E-12					
6.32E-02	4.66E-23	6.83E-12	1.72E-12					
6.42E-02	5.38E-23	7.34E-12	1.86E-12					
6.53E-02	5.36E-23	7.32E-12	1.87E-12					
6.63E-02	5.58E-23	7.47E-12	1.92E-12					
6.74E-02	6.15E-23	7.84E-12	2.04E-12					
6.85E-02	7.38E-23	8.59E-12	2.25E-12					
6.96E-02	1.01E-22	1.01E-11	2.65E-12					
7.08E-02	1.76E-22	1.33E-11	3.53E-12					
7.19E-02	5.60E-22	2.37E-11	6.35E-12					
7.31E-02	3.88E-19	6.23E-10	1.68E-10					
7.43E-02	2.92E-22	1.71E-11	4.66E-12					
7.55E-02	5.81E-23	7.62E-12	2.09E-12					
7.67E-02	2.02E-23	4.49E-12	1.24E-12					
7.80E-02	8.83E-24	2.97E-12	8.30E-13					
7.92E-02	4.40E-24	2.10E-12	5.90E-13					
8.05E-02	2.38E-24	1.54E-12	4.37E-13					
8.18E-02	1.36E-24	1.17E-12	3.34E-13					
8.32E-02	8.13E-25	9.01E-13	2.60E-13					
8.45E-02	5.50E-25	7.42E-13	2.16E-13					
8.59E-02	3.87E-25	6.22E-13	1.82E-13					
8.73E-02	2.78E-25	5.27E-13	1.56E-13					
8.87E-02	2.03E-25	4.50E-13	1.34E-13					
9.01E-02	1.50E-25	3.88E-13	1.16E-13					
9.16E-02	1.13E-25	3.36E-13	1.02E-13					
9.31E-02	8.54E-26	2.92E-13	8.91E-14					
9.46E-02	6.53E-26	2.56E-13	7.86E-14					
9.62E-02	5.04E-26	2.24E-13	6.96E-14					
9.77E-02	3.92E-26	1.98E-13	6.19E-14					
9.93E-02	3.07E-26	1.75E-13	5.52E-14					
1.01E-01	2.55E-26	1.60E-13	5.07E-14					
1.03E-01	2.21E-26	1.49E-13	4.76E-14					
1.04E-01	1.93E-26	1.39E-13	4.48E-14					
1.06E-01	1.69E-26	1.30E-13	4.23E-14					
1.08E-01	1.48E-26	1.22E-13	4.00E-14					
1.09E-01	1.31E-26	1.14E-13	3.79E-14					
